"cell_type"	"biopsy_tissue"	"biopsy_cell_selection"	"grouping_id"	"study_id"	"hgnc_symbol"	"ensembl_gene_id"	"ensembl_version"	"p_value"	"p_value_adj"	"auc"	"pct_cells_target_cluster"	"pct_cells_other_clusters"	"avg_logFC"	"study_specific_columns"	"study_specific_columns_values"	"notes"
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"ANXA1"	"ENSG00000135046"	99		3.34e-245				1.5046862	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"ARHGDIB"	"ENSG00000111348"	99		2.46e-85				0.5482475	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"ARL4C"	"ENSG00000188042"	99		1.75e-102				1.4897603	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"B2M"	"ENSG00000166710"	99		5.71e-105				0.13122313	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"BTG1"	"ENSG00000133639"	99		2.5e-99				0.3796917	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"CD2"	"ENSG00000116824"	99		5.86e-163				1.2836517	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"CD3D"	"ENSG00000167286"	99		1.25e-121				1.0411824	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"CD3E"	"ENSG00000198851"	99		8.48e-111				1.034119	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"CD40LG"	"ENSG00000102245"	99		4.49e-85				1.9463817	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"CD69"	"ENSG00000110848"	99		2.8e-79				0.53445756	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"CLEC2D"	"ENSG00000069493"	99		2.26e-97				1.2298917	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"CREM"	"ENSG00000095794"	99		4.56e-81				1.0463672	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"CXCR4"	"ENSG00000121966"	99		5.8e-145				0.7437739	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"DDX5"	"ENSG00000108654"	99		4e-133				0.43465853	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"EEF1A1"	"ENSG00000156508"	99		9.82e-101				0.14748865	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"EIF1"	"ENSG00000173812"	99		2.54e-118				0.2343231	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"ETS1"	"ENSG00000134954"	99		3.01e-81				1.1052992	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"FOS"	"ENSG00000170345"	99		2.49e-72				0.4072397	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"FTH1"	"ENSG00000167996"	99		2.95e-85				0.3038266	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"GIMAP7"	"ENSG00000179144"	99		2.49e-80				1.3165406	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"GPR183"	"ENSG00000169508"	99		9.13e-241				1.241656	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"HLA-A"	"ENSG00000206503"	99		8.25e-83				0.3421687	""	""	
"Activated CD4 T"	"colon"	"immune"		"JamesKR-32066951"	"HNRNPA1"	"ENSG00000135486"	99		6.76e-73				0.3333601	""	""	
